operation	description	index	ah	av	lh	lv	rh	rv
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	14	202.748625687	190.404797601	202.748625687	190.404797601	202.748625687	190.404797601
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	15	254.253024477	193.308637344	254.253024477	193.308637344	254.253024477	193.308637344
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	16	332.179506064	197.702165267	332.179506064	197.702165267	332.179506064	197.702165267
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	17	417.80708986	202.529884584	417.80708986	202.529884584	417.80708986	202.529884584
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	18	430.901287554	277.923819742	430.901287554	277.923819742	430.901287554	277.923819742
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	19	341.277616205	269.217817236	341.277616205	269.217817236	341.277616205	269.217817236
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	20	260.015565717	261.324058761	260.015565717	261.324058761	260.015565717	261.324058761
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	21	206.463305559	256.122016664	206.463305559	256.122016664	206.463305559	256.122016664
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	22	146.589621573	250.305914344	146.589621573	250.305914344	146.589621573	250.305914344
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	23	100	245.78021978	100	245.78021978	100	245.78021978
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	24	100	300	100	300	100	300
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	25	147.981330222	306.394399067	147.981330222	306.394399067	147.981330222	306.394399067
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	26	209.770421783	314.628937533	209.770421783	314.628937533	209.770421783	314.628937533
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	27	265.157144292	322.010241992	265.157144292	322.010241992	265.157144292	322.010241992
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	28	349.422437892	333.240149797	349.422437892	333.240149797	349.422437892	333.240149797
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	29	442.666666667	345.666666667	442.666666667	345.666666667	442.666666667	345.666666667
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	0	100	100	100	100	100	100
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	1	150	100	150	100	150	100
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	2	210	100	210	100	210	100
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	3	260	100	260	100	260	100
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	4	330	100	330	100	330	100
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	5	400	100	400	100	400	100
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	6	413.186813187	132.967032967	413.186813187	132.967032967	413.186813187	132.967032967
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	7	340.10989011	132.967032967	340.10989011	132.967032967	340.10989011	132.967032967
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	8	267.032967033	132.967032967	267.032967033	132.967032967	267.032967033	132.967032967
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	9	214.835164835	132.967032967	214.835164835	132.967032967	214.835164835	132.967032967
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	10	152.197802198	132.967032967	152.197802198	132.967032967	152.197802198	132.967032967
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	11	100	132.967032967	100	132.967032967	100	132.967032967
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	12	100	178.488372093	100	178.488372093	100	178.488372093
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	13	155.23255814	178.488372093	155.23255814	178.488372093	155.23255814	178.488372093
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	14	221.511627907	178.488372093	221.511627907	178.488372093	221.511627907	178.488372093
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	15	276.744186047	178.488372093	276.744186047	178.488372093	276.744186047	178.488372093
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	16	354.069767442	178.488372093	354.069767442	178.488372093	354.069767442	178.488372093
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	17	431.395348837	178.488372093	431.395348837	178.488372093	431.395348837	178.488372093
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	18	456.25	240.625	456.25	240.625	456.25	240.625
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	19	373.125	240.625	373.125	240.625	373.125	240.625
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	20	290	240.625	290	240.625	290	240.625
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	21	230.625	240.625	230.625	240.625	230.625	240.625
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	22	159.375	240.625	159.375	240.625	159.375	240.625
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	23	100	240.625	100	240.625	100	240.625
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	24	100	300	100	300	100	300
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	25	163.333333333	300	163.333333333	300	163.333333333	300
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	26	239.333333333	300	239.333333333	300	239.333333333	300
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	27	302.666666667	300	302.666666667	300	302.666666667	300
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	28	391.333333333	300	391.333333333	300	391.333333333	300
widget-free-distort-shift	Free Distort widget mode, top-right corner dragged right and a little up with Shift held	29	480	300	480	300	480	300
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	0	-33.444444444	97.888888889	-33.444444444	97.888888889	-33.444444444	97.888888889
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	1	38.796296296	98.240740741	38.796296296	98.240740741	38.796296296	98.240740741
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	2	125.485185185	98.662962963	125.485185185	98.662962963	125.485185185	98.662962963
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	3	197.725925926	99.014814815	197.725925926	99.014814815	197.725925926	99.014814815
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	4	298.862962963	99.507407407	298.862962963	99.507407407	298.862962963	99.507407407
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	5	400	100	400	100	400	100
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	6	426.688888889	140.422222222	426.688888889	140.422222222	426.688888889	140.422222222
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	7	325.551851852	139.92962963	325.551851852	139.92962963	325.551851852	139.92962963
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	8	224.414814815	139.437037037	224.414814815	139.437037037	224.414814815	139.437037037
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	9	152.174074074	139.085185185	152.174074074	139.085185185	152.174074074	139.085185185
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	10	65.485185185	138.662962963	65.485185185	138.662962963	65.485185185	138.662962963
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	11	-6.755555556	138.311111111	-6.755555556	138.311111111	-6.755555556	138.311111111
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	12	26.605555556	188.838888889	26.605555556	188.838888889	26.605555556	188.838888889
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	13	98.846296296	189.190740741	98.846296296	189.190740741	98.846296296	189.190740741
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	14	185.535185185	189.612962963	185.535185185	189.612962963	185.535185185	189.612962963
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	15	257.775925926	189.964814815	257.775925926	189.964814815	257.775925926	189.964814815
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	16	358.912962963	190.457407407	358.912962963	190.457407407	358.912962963	190.457407407
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	17	460.05	190.95	460.05	190.95	460.05	190.95
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	18	500.083333333	251.583333333	500.083333333	251.583333333	500.083333333	251.583333333
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	19	398.946296296	251.090740741	398.946296296	251.090740741	398.946296296	251.090740741
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	20	297.809259259	250.598148148	297.809259259	250.598148148	297.809259259	250.598148148
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	21	225.568518519	250.246296296	225.568518519	250.246296296	225.568518519	250.246296296
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	22	138.87962963	249.824074074	138.87962963	249.824074074	138.87962963	249.824074074
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	23	66.638888889	249.472222222	66.638888889	249.472222222	66.638888889	249.472222222
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	24	100	300	100	300	100	300
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	25	172.240740741	300.351851852	172.240740741	300.351851852	172.240740741	300.351851852
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	26	258.92962963	300.774074074	258.92962963	300.774074074	258.92962963	300.774074074
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	27	331.17037037	301.125925926	331.17037037	301.125925926	331.17037037	301.125925926
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	28	432.307407407	301.618518519	432.307407407	301.618518519	432.307407407	301.618518519
widget-free-distort-alt	Free Distort widget mode, top-right corner dragged right with Alt held	29	533.444444444	302.111111111	533.444444444	302.111111111	533.444444444	302.111111111
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	0	100	100	100	100	100	100
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	1	150	100	150	100	150	100
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	2	210	100	210	100	210	100
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	3	260	100	260	100	260	100
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	4	330	100	330	100	330	100
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	5	400	100	400	100	400	100
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	6	411.678670704	127.542751249	411.678670704	127.542751249	411.678670704	127.542751249
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	7	336.228624375	127.542751249	336.228624375	127.542751249	336.228624375	127.542751249
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	8	260.778578047	127.542751249	260.778578047	127.542751249	260.778578047	127.542751249
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	9	206.885687812	127.542751249	206.885687812	127.542751249	206.885687812	127.542751249
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	10	142.214219531	127.542751249	142.214219531	127.542751249	142.214219531	127.542751249
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	11	88.321329296	127.542751249	88.321329296	127.542751249	88.321329296	127.542751249
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	12	70.889933584	168.652617962	70.889933584	168.652617962	70.889933584	168.652617962
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	13	130.593289056	168.652617962	130.593289056	168.652617962	130.593289056	168.652617962
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	14	202.237315622	168.652617962	202.237315622	168.652617962	202.237315622	168.652617962
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	15	261.940671094	168.652617962	261.940671094	168.652617962	261.940671094	168.652617962
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	16	345.525368755	168.652617962	345.525368755	168.652617962	345.525368755	168.652617962
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	17	429.110066416	168.652617962	429.110066416	168.652617962	429.110066416	168.652617962
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	18	455.726574134	231.424475289	455.726574134	231.424475289	455.726574134	231.424475289
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	19	359.720839538	231.424475289	359.720839538	231.424475289	359.720839538	231.424475289
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	20	263.715104942	231.424475289	263.715104942	231.424475289	263.715104942	231.424475289
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	21	195.139580231	231.424475289	195.139580231	231.424475289	195.139580231	231.424475289
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	22	112.848950578	231.424475289	112.848950578	231.424475289	112.848950578	231.424475289
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	23	44.273425866	231.424475289	44.273425866	231.424475289	44.273425866	231.424475289
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	24	15.196048512	300	15.196048512	300	15.196048512	300
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	25	93.464032341	300	93.464032341	300	93.464032341	300
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	26	187.385612937	300	187.385612937	300	187.385612937	300
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	27	265.653596766	300	265.653596766	300	265.653596766	300
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	28	375.228774127	300	375.228774127	300	375.228774127	300
widget-free-distort-shift-alt	Free Distort widget mode, top-right corner dragged right and a little up with Shift+Alt held	29	484.803951488	300	484.803951488	300	484.803951488	300
